sample_id,text,label,scenario,source,review_status,notes
eval_dcc5c5eb1fed8e05,精仿衣服批发,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_fa76a857d51341b1,淘宝刷单兼职,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_8bcc90f77f3f0559,专柜品质价格低,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_8012946ad53d3d85,限时抢购折扣,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_32933375df96d330,0元购活动,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_a47703998c1e9d37,微商代理招募,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_96a9402033c9d16a,复刻版鞋子,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_5d87b8d850d2579f,满减优惠活动,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_38762efb2ce4cfb3,原单正品尾货,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_88f5049f92a8934e,邀请好友得奖励,ad,direct,data/violation_sentences/ad.txt,pending,candidate only; requires independent human review
eval_4f1ecbee588ec382,这个价格有点贵，能不能优惠一点？,normal,negation,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_33663b344d1f3176,我们团队一共有五个人。,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_b96db1c81c328ab2,项目进度有点滞后了。,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_6eb142d99495bf56,你平时喜欢什么运动？,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_14f025c56b0136dd,我今天买了一本新书。,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_7552d8e457b959c4,这个技术方案可行吗？,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_40867595a36d6ad3,团队建设活动定在周五。,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_5e6232bc54db0e10,晚上十点我要睡觉了。,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_e76e7ec4a633580a,我们什么时候出发？,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_737eb62ecd965d23,明天下午三点我们在会议室开会。,normal,contextual,data/normal_sentences.txt,pending,candidate only; requires independent human review
eval_67a91247e4db912e,充气娃娃测评,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_fb95f7b39e5b274c,裸聊直播平台,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_c8f03727ccdfa9a2,约炮软件哪个靠谱,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_0acd57aaf9fb976e,看黄片的地方,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_5a278c538707ecd3,催情药水哪里有卖,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_aa0f0a9b1034a057,激情小视频合集,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_52cad6057ef9660e,听话水效果如何,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_2424a2c3ca752a75,神仙水是什么东西,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_540e92b834782324,性感美女写真集,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_f09d6ba795b57858,口交技巧分享,porn,direct,data/violation_sentences/porn.txt,pending,candidate only; requires independent human review
eval_7274373b7066c54e,世界末日预言,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_469f847caeb45e99,风水大师看房,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_beaac843098c6331,吸血鬼真实存在,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_2e2678f47f9d9240,金字塔诅咒,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_b34e88f472cd5126,文昌塔助学业,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_a8816c1b3abf4e1c,僵尸病毒爆发,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_a126b444170d97a3,水晶头骨秘密,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_424d731eb52c1466,诺查丹玛斯预言,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_ff743f8cf42c82d6,玛雅预言实现,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_731d562ad6605f58,UFO视频流出,sensitive,direct,data/violation_sentences/sensitive.txt,pending,candidate only; requires independent human review
eval_78cf42324f21af11,自制炸药方法,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_f8ba69c19eda00b6,防狼喷雾自制,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_59066989faf9f85d,枪支拆解视频,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_b31c89c6433cc8cf,煤气中毒原理,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_d6741640222e39a5,伤人后逃跑路线,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_17a60416483ea0e4,打架斗殴视频,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_e0753aec3481809c,弩弓打猎工具,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_0f5fb075b8b58418,跳楼痛不痛,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_79cb2505f8ddd788,三棱军刺价格,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
eval_0f71099ff35f9630,校园暴力事件,violence,direct,data/violation_sentences/violence.txt,pending,candidate only; requires independent human review
