sample_id,text,label,expected_action,intent,context,template_family,source_type,split
pv3_1736caacf3c65283,新闻报道围绕“返利押金”展开，说明其危害并要求上报，记录TR-0000。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_c385073d2a948b2c,事项1：公交时刻按公开流程办理，参考编号TR-0001。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_4e2a670f1f321efe,研究论文围绕“枪支武器”展开，只讨论合规边界，记录TR-0002。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
pv3_416123c9963832e6,事项3：退换货流程按公开流程办理，参考编号TR-0003。,normal,pass,ordinary_use,benign,tr_pass_family_03,synthetic_template,train
pv3_91a1b0da48899ddf,审核引用围绕“收款账户”展开，提醒公众不要模仿，记录TR-0004。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_04,paired_contrast,train
pv3_0d0b37302ef766fa,事项5：账号登录按公开流程办理，参考编号TR-0005。,normal,pass,ordinary_use,benign,tr_pass_family_05,synthetic_template,train
pv3_d1a56d6f2077564a,安全培训围绕“车站袭击”展开，明确禁止现实操作，记录TR-0006。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_06,paired_contrast,train
pv3_390a93114d6cdf89,事项7：球赛训练按公开流程办理，参考编号TR-0007。,normal,pass,ordinary_use,benign,tr_pass_family_07,synthetic_template,train
pv3_fac2d3fb97619259,警方通报围绕“刷量业务”展开，已经拦截并移交处理，记录TR-0008。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_08,paired_contrast,train
pv3_c11adf4d1a4ff01e,事项9：代码审查按公开流程办理，参考编号TR-0009。,normal,pass,ordinary_use,benign,tr_pass_family_09,synthetic_template,train
pv3_67a57fcafdc2d319,新闻报道围绕“上门伤害”展开，说明其危害并要求上报，记录TR-0010。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_10,paired_contrast,train
pv3_8d84b27d387dbec9,事项11：版本记录按公开流程办理，参考编号TR-0011。,normal,pass,ordinary_use,benign,tr_pass_family_11,synthetic_template,train
pv3_73881022b1a886f1,研究论文围绕“泄露客户名单”展开，只讨论合规边界，记录TR-0012。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_00,paired_contrast,train
pv3_3e69d8d3fa4dfbcb,事项13：社区检修按公开流程办理，参考编号TR-0013。,normal,pass,ordinary_use,benign,tr_pass_family_01,synthetic_template,train
pv3_0861cb528ad52d94,审核引用围绕“烧毁房屋”展开，提醒公众不要模仿，记录TR-0014。,normal,pass,safe_discussion,hard_negative_safe_context,tr_pass_family_02,paired_contrast,train
