text,label
这个加JS,ad
阅读这篇课文很有意思。,normal
关于找我日的事情,porn
自杀式袭击,sensitive
这个看自sha,violence
这个要卖淫的,porn
加不为人知我,sensitive
这个请点击进入,ad
关于看淘宝的事情,ad
这个九评,violence
法0功,violence
关于偷拍的事情,porn
希望下次还能再来。,normal
关于口爆呢的事情,ad
自sha,violence
可集体自杀啊,violence
辟谣你,sensitive
关于全套的事情,ad
这个想内部消息,sensitive
关于转发扩散的事情,sensitive
这个音乐很好听。,normal
关于三去车仑的事情,violence
关于观音法门的事情,violence
大法弟子,violence
来自拍吧,porn
关于造谣啊的事情,sensitive
看通奸,porn
看我日吗,porn
做爱,porn
男男,porn
这个自fen,violence
法lg吗,violence
这个想婊子,ad
这个看法o功的,violence
这本书写得非常好，推荐大家阅读。,normal
关于转发扩散呢的事情,sensitive
这个观音法门,violence
这个藏字石吧,violence
关于黑幕啊的事情,sensitive
明天下午三点我们在会议室开会。,normal
关于兼职的事情,ad
周末想去爬山放松一下。,normal
今天的会议内容很重要。,normal
要tuidang,violence
这个季节的花开得很好。,normal
这个集体自杀,violence
关于车仑工力的事情,violence
这个草泥马,porn
这个扣扣,ad
关于想官商勾结吗的事情,sensitive
恋童,porn
关于能成人电影的事情,porn
这个明慧网,violence
要9评了,violence
这个找AV,porn
关于荡妇吗的事情,porn
有卧槽,porn
这个要性伴侣呢,ad
这个淫秽啊,porn
AV了,porn
这个找自拍,porn
今天地铁人好多。,normal
可胸推,ad
这个包养,porn
关于tuidang的事情,violence
到货,ad
关于伪火吗的事情,violence
关于加9ping我的事情,violence
辐射污染,sensitive
录音曝光,sensitive
能退dang的,violence
今天加班到很晚才回家。,normal
关于贪污腐败的事情,sensitive
关于要轮法功你的事情,violence
关于微店的事情,ad
关于客服的的事情,ad
关于私草泥马哦的事情,porn
中国教徒,violence
这个QQ的,ad
关于要统一教的事情,violence
这个dajiyuan哦,violence
想傻逼你,porn
这个疫苗有害吧,sensitive
绝对真相,sensitive
关于出轨你的事情,porn
这个falungong,violence
jiuping,violence
自fen,violence
这个诱惑,porn
这个加妓女,ad
男男你,porn
私示威,sensitive
这个想妓女吧,ad
关于录音曝光的事情,sensitive
这个可核武器泄漏,sensitive
关于来极端组织了的事情,sensitive
这个找轮子功了,violence
我操,porn
加9ping我,violence
全套了,ad
这个加我操,porn
关于绝食吗的事情,sensitive
关于有卧槽的事情,porn
关于李宏志的事情,violence
关于绳缚的事情,porn
专业代理,ad
看分裂国家,sensitive
绝密文件哦,sensitive
关于有3P了的事情,ad
这个看传谣吗,sensitive
这个可网络,ad
关于要口暴啊的事情,ad
这个约炮了,porn
这个辟谣,sensitive
二奶我,porn
关于能诱惑的事情,porn
关于fl功的事情,violence
推油,ad
关于正见网的事情,violence
这个看不看后悔,sensitive
这个找口交啊,ad
咖啡喝多了对胃不好。,normal
关于私正见网的事情,violence
这个毛片吧,porn
代理,ad
加绝对真相,sensitive
这个三去车仑,violence
这个操逼哦,porn
关于淫秽啊的事情,porn
这个男男你,porn
关于加性感呢的事情,porn
fa轮,violence
音乐节下周举行。,normal
大家对这个方案有什么意见？,normal
自fen哦,violence
看不看后悔,sensitive
关于找自拍的事情,porn
最近在学 Python 编程，感觉很有收获。,normal
找口交啊,ad
这个可发论工你,violence
关于招聘的事情,ad
这个本店,ad
最近有什么好看的电影？,normal
这个加轮子功啊,violence
关于口爆的事情,ad
新唐人,violence
这个加性感呢,porn
关于罢工的事情,sensitive
新年快乐，万事如意！,normal
这个能成人电影,porn
看淘宝,ad
黄片吗,porn
这个荡妇,porn
这个来自拍吧,porn
性交,porn
这个大纪元你,violence
关于能辟谣吧的事情,sensitive
关于tuidang了的事情,violence
关于加SM的事情,porn
氵去车仑,violence
这个看明慧网吗,violence
有意者,ad
这个紧急通知,sensitive
帮忙点一下的,ad
这个技师,ad
找我日,porn
来清海无上师啊,violence
这个加傻逼了,porn
统一教吧,violence
毛片,porn
帮忙点一下,ad
咪咪我,ad
关于要性伴侣呢的事情,ad
关于可虐恋的事情,porn
关于你妈逼的事情,porn
这个找你妈逼哦,porn
淘宝我,ad
日你,porn
关于找新唐人我的事情,violence
私骚货我,porn
关于生化武器的事情,sensitive
要绝食,sensitive
关于二奶我的事情,porn
关于falungong的事情,violence
关于看核武器泄漏的事情,sensitive
强奸哦,porn
乱伦,porn
来伪火,violence
周末准备去电影院看新上映的电影。,normal
荡妇,porn
这个想偷拍,porn
关于有包养呢的事情,porn
关于可志洪李的事情,violence
这个李洪志,violence
私代理我,ad
关于找福音会的事情,violence
这个找推油,ad
这个狼友,ad
加轮功,violence
BT的,ad
全套,ad
这个想足交,ad
这个能震惊世界,sensitive
这个婊子,ad
关于找有意者的事情,ad
轮奸,porn
这个flg,violence
关于到货呢的事情,ad
绳缚,porn
兼职,ad
帮忙点下,ad
这个BT,ad
