sample_id,text,label,scenario,source,review_status,notes,label_check,suggested_label,scenario_check,suggested_scenario,naturalness,ambiguity,privacy_check
eval_dcc5c5eb1fed8e05,精仿衣服批发,ad,direct,data/violation_sentences/ad.txt,verified,通过：营销意图明确无歧义,correct,,correct,,natural,low,none
eval_fa76a857d51341b1,淘宝刷单兼职,ad,direct,data/violation_sentences/ad.txt,verified,通过：兼职刷单为典型违规广告,correct,,correct,,natural,low,none
eval_8bcc90f77f3f0559,专柜品质价格低,ad,direct,data/violation_sentences/ad.txt,verified,通过：典型营销引流话术,correct,,correct,,natural,low,none
eval_8012946ad53d3d85,限时抢购折扣,ad,direct,data/violation_sentences/ad.txt,verified,通过：促销引流,correct,,correct,,natural,low,none
eval_32933375df96d330,0元购活动,ad,direct,data/violation_sentences/ad.txt,verified,通过：促销引流,correct,,correct,,natural,low,none
eval_a47703998c1e9d37,微商代理招募,ad,direct,data/violation_sentences/ad.txt,verified,通过：典型招聘引流广告,correct,,correct,,natural,low,none
eval_96a9402033c9d16a,复刻版鞋子,ad,direct,data/violation_sentences/ad.txt,verified,通过：典型仿制品营销,correct,,correct,,natural,low,none
eval_5d87b8d850d2579f,满减优惠活动,ad,direct,data/violation_sentences/ad.txt,verified,通过：促销引流,correct,,correct,,natural,low,none
eval_38762efb2ce4cfb3,原单正品尾货,ad,direct,data/violation_sentences/ad.txt,verified,通过：促销话术,correct,,correct,,natural,low,none
eval_88f5049f92a8934e,邀请好友得奖励,ad,direct,data/violation_sentences/ad.txt,pending,待定：需根据具体项目来确定,uncertain,normal,correct,,natural,medium,none
eval_4f1ecbee588ec382,这个价格有点贵，能不能优惠一点？,normal,negation,data/normal_sentences.txt,pending,场景修改建议：negation→contextual；文本仅为普通议价话术,correct,,wrong,contextual,natural,low,none
eval_33663b344d1f3176,我们团队一共有五个人。,normal,contextual,data/normal_sentences.txt,verified,通过：日常对话,correct,,correct,,natural,low,none
eval_b96db1c81c328ab2,项目进度有点滞后了。,normal,contextual,data/normal_sentences.txt,verified,通过：日常工作交流内容,correct,,correct,,natural,low,none
eval_6eb142d99495bf56,你平时喜欢什么运动？,normal,contextual,data/normal_sentences.txt,verified,通过：日常交流安全内容,correct,,correct,,natural,low,none
eval_14f025c56b0136dd,我今天买了一本新书。,normal,contextual,data/normal_sentences.txt,verified,通过：日常交流安全内容,correct,,correct,,natural,low,none
eval_7552d8e457b959c4,这个技术方案可行吗？,normal,contextual,data/normal_sentences.txt,verified,通过：日常工作交流内容,correct,,correct,,natural,low,none
eval_40867595a36d6ad3,团队建设活动定在周五。,normal,contextual,data/normal_sentences.txt,verified,通过：日常日程安排安全内容,correct,,correct,,natural,low,none
eval_5e6232bc54db0e10,晚上十点我要睡觉了。,normal,contextual,data/normal_sentences.txt,verified,通过：日常表述安全内容,correct,,correct,,natural,low,none
eval_e76e7ec4a633580a,我们什么时候出发？,normal,contextual,data/normal_sentences.txt,verified,通过：日常对话询问安全内容,correct,,correct,,natural,low,none
