sample_id,pair_id,original_text,adversarial_text,label,perturbation_type,source,review_status,notes
adv2_75fd38ad2bab0fcc,pair_59b37935f43ac657,加我微信有福利,加我v x有福利,ad,abbreviation,data/violation_sentences/ad.txt,verified,通过：标签正确；“v x”可结合语境稳定识别为“微信”的缩写规避形式；语义保持；扰动作用于核心引流表达
adv2_89b10b7784662d44,pair_691cf9a2fddd1fe6,色情视频网站,av网站,porn,abbreviation,data/violation_sentences/porn.txt,verified,通过：标签正确；“AV网站”是可识别的色情视频网站缩写表达；语义保持；扰动类型准确
adv2_5a537c015b02d848,pair_c8f03727ccdfa9a2,约炮软件哪个靠谱,yp软件哪个靠谱,porn,abbreviation,data/violation_sentences/porn.txt,pending,待定：“yp”结合当前语境可推断为“约炮”，但缩写存在多义性，稳定性和通用可识别性需二次复核
adv2_a052b705003ce497,pair_fb95f7b39e5b274c,裸聊直播平台,裸 聊直播平台,porn,character_split,data/violation_sentences/porn.txt,verified,通过：标签正确；语义保持；拆分作用于核心风险词“裸聊”；类型准确；具有对抗测试价值
adv2_0305ffaea101308d,pair_c560ee0b290d9529,兼职打字员招聘,兼 职打字员招聘,ad,character_split,data/violation_sentences/ad.txt,verified,通过：标签正确；语义保持；拆分作用于核心广告词“兼职”；类型准确；具有对抗测试价值
adv2_93976bdac0118753,pair_9118633eec2e9b73,约炮群怎么加,约 炮群怎么加,porn,character_split,data/violation_sentences/porn.txt,verified,通过：标签正确；语义保持；拆分作用于核心风险词“约炮”；类型准确；具有对抗测试价值
adv2_98e24a05fc77dd3c,pair_691cf9a2fddd1fe6,色情视频网站,🔞视频网站,porn,emoji,data/violation_sentences/porn.txt,verified,通过：标签正确；“🔞”可稳定表达成人色情含义；语义保持；替换核心风险表达；类型准确
adv2_49429d06926399a7,pair_59b37935f43ac657,加我微信有福利,加我微信有🎁,ad,emoji,data/violation_sentences/ad.txt,verified,通过：标签正确；“🎁”可表达福利或赠品含义；语义保持；扰动广告诱导表达；类型准确
adv2_e10271fe7050ada3,pair_e9a4c45532544fa7,福利姬推特账号,🎁姬推特账号,porn,emoji,data/violation_sentences/porn.txt,pending,待定：“🎁姬”对固定网络词“福利姬”的还原不够稳定，表达较机械，真实性和可识别性需二次复核
adv2_0e2ef3bb3db6d70f,pair_6363f4c9bd3526f4,自杀方法大全,自傻方法大全,sensitive,homophone,data/violation_sentences/violence.txt,pending,待定：“自傻”与“自杀”近音且结合上下文可推断，但并非常见稳定规避表达，存在语义偏移和真实性不足
adv2_43dcd47fd29f5dd2,pair_59b37935f43ac657,加我微信有福利,加我威信有福利,ad,homophone,data/violation_sentences/ad.txt,verified,通过：标签正确；“威信”是“微信”的常见同音规避形式；语义保持；扰动作用于核心引流表达
adv2_762504a1052e7052,pair_c8f03727ccdfa9a2,约炮软件哪个靠谱,月炮软件哪个靠谱,porn,homophone,data/violation_sentences/porn.txt,pending,待定：“月炮”结合软件语境可推断为“约炮”，但并非常见稳定规避表达，真实性和语义稳定性需复核
adv2_3e7a43861daa2c5f,pair_3fcdf72a7007aef2,黄色漫画网站,黄色漫画website,porn,mixed_language,data/violation_sentences/porn.txt,verified,通过：标签正确；“website”替换准确；中英混写可理解；语义保持；类型准确；可测试短语级跨语言扰动
adv2_49ab2280622c6d5d,pair_beb5de853a87e045,微信转账有返现,wechat转账有返现,ad,mixed_language,data/violation_sentences/ad.txt,verified,通过：标签正确；“wechat”准确替换“微信”；语义保持；扰动作用于核心平台表达；类型准确
adv2_9b63868620d8ec46,pair_691cf9a2fddd1fe6,色情视频网站,色情视频website,porn,mixed_language,data/violation_sentences/porn.txt,verified,通过：标签正确；“website”替换准确；语义保持；中英混写自然可理解；具有短语级对抗测试价值
adv2_3a9501c512c4c195,pair_c8f03727ccdfa9a2,约炮软件哪个靠谱,yue pao软件哪个靠谱,porn,pinyin,data/violation_sentences/porn.txt,verified,通过：标签正确；“yue pao”拼音完整准确；语义保持；替换核心风险词；类型准确
adv2_ae695a4e81dd751a,pair_c560ee0b290d9529,兼职打字员招聘,jian zhi打字员招聘,ad,pinyin,data/violation_sentences/ad.txt,verified,通过：标签正确；“jian zhi”拼音完整准确；语义保持；替换核心广告词；类型准确
