sample_id,text,label,structure_type,risk_position,sanitize_operation,risk_fragment,sanitized_text,template_signature,semantic_relation,obvious_two_part,safe_context_reference,severe_core_intent,uses_real_identifier
siev1_ad1a042776551bd2,加虚构客服号 WX-DEMO-INVALID 领取返现；保修登记仍按订单编号办理。,ad,opening_fragment,opening,remove_private_channel,加虚构客服号 WX-DEMO-INVALID 领取返现,保修登记仍按订单编号办理。,ad_opening_semicolon_service_notice,返现私域引流污染保修通知,true,false,false,false
siev1_734bf160121eb0e4,【私聊示例账号 AD-DEMO-000 可拿内部价】周末手作市集九点开场，现场可正常购票。,ad,title_pollution,opening,remove_polluted_title,【私聊示例账号 AD-DEMO-000 可拿内部价】,周末手作市集九点开场，现场可正常购票。,ad_bracket_title_market_notice,私聊内部价标题污染市集通知,false,false,false,false
siev1_6e7a6c49c1dfda51,展览导览分上午和下午两场，扫码进入私域团购群可享隐藏价，预约仍以官网编号为准。,ad,embedded_clause,middle,remove_private_channel,扫码进入私域团购群可享隐藏价,展览导览分上午和下午两场，预约仍以官网编号为准。,ad_mid_clause_exhibition_booking,私域团购引流嵌入展览预约信息,false,false,false,false
siev1_89cf3e029a62cda0,咖啡店今日供应两款无糖饮品，杯套同时宣传私信暗号拿未公开折扣。,ad,same_sentence_embedded,embedded,neutralize_promotion,私信暗号拿未公开折扣,咖啡店今日供应两款无糖饮品，杯套采用普通新品说明。,ad_cup_sleeve_embedded_discount,折扣暗号与饮品杯套宣传自然相关,false,false,false,false
siev1_ea0f1df420a93ac0,活动报名表：主题=城市摄影；地点=文化馆；推广备注=联系虚构代理号 AGENT-INVALID 购买加急名额；费用=公开价。,ad,field_pollution,middle,remove_polluted_field,推广备注=联系虚构代理号 AGENT-INVALID 购买加急名额；,活动报名表：主题=城市摄影；地点=文化馆；费用=公开价。,ad_form_field_agent_slot,代理招揽污染活动报名字段,false,false,false,false
siev1_44d29b73c498557f,软件更新说明：新增离线阅读并修复同步问题。签名：加入示例促销群 GROUP-000 获取付费激活码。,ad,signature_pollution,end,remove_private_channel,签名：加入示例促销群 GROUP-000 获取付费激活码。,软件更新说明：新增离线阅读并修复同步问题。,ad_signature_group_activation,促销群签名污染软件更新说明,true,false,false,false
siev1_075de32a1009fff2,顾客：周末蛋糕还能预订吗？店员：可以，私聊个人号还能拿隐藏返利，取货时间仍是下午三点。,ad,dialogue,middle,replace_with_official_channel,私聊个人号还能拿隐藏返利,顾客：周末蛋糕还能预订吗？店员：可以，请通过门店公开渠道预订，取货时间仍是下午三点。,ad_dialogue_cake_hidden_rebate,隐藏返利与蛋糕预订服务自然相关,false,false,false,false
siev1_ab456bbde36f0d9b,课程安排｜基础构图｜户外练习｜私下转账到 PAY-INVALID 可提前解锁资料｜结课讲评,ad,list_pollution,embedded,remove_private_channel,私下转账到 PAY-INVALID 可提前解锁资料｜,课程安排｜基础构图｜户外练习｜结课讲评,ad_pipe_list_private_payment,私下付费渠道污染课程安排列表,false,false,false,false
siev1_12d26892ff493707,社区义卖所得将用于公共阅读角，现场也接受正常购买；想拿专享价就进私域群预付。,ad,closing_fragment,end,delete_promotion_clause,想拿专享价就进私域群预付,社区义卖所得将用于公共阅读角，现场也接受正常购买。,ad_closing_private_presale,私域预付招揽附着于义卖信息,true,false,false,false
siev1_c10fb64a3c62b34f,社区演出报名页顶部弹出“成人裸聊体验 PORN-DEMO-INVALID”，节目时间和无障碍入场说明仍在下方。,porn,opening_fragment,opening,remove_solicitation,顶部弹出“成人裸聊体验 PORN-DEMO-INVALID”，,社区演出报名页的节目时间和无障碍入场说明仍在下方。,porn_opening_performance_popup,色情弹窗来自同一演出报名页的广告位污染,true,false,false,false
