sample_id,pair_id,original_text,adversarial_text,label,perturbation_type,source,review_status,notes
adv_c31382aaed695b34,pair_33a6e986988c8e83,拼团砍价免费拿,拼团砍价mf拿,ad,abbreviation,data/violation_sentences/ad.txt,pending,待定：缩写“mf”不能稳定指代“免费”，真实性与可识别性需要二次复核
adv_59c203fcc6a3053b,pair_effd0672229ad48a,学生兼职赚钱,学生jj赚钱,ad,abbreviation,data/violation_sentences/ad.txt,rejected,拒绝：缩写“jj”对“兼职”的指代性极弱（易误读为姐姐/极品等），真实性不足
adv_8e62d9372baae801,pair_8012946ad53d3d85,限时抢购折扣,限时抢购zk,ad,abbreviation,data/violation_sentences/ad.txt,pending,待定：缩写“zk”不能稳定指代“折扣”，真实性与可识别性需要二次复核
adv_0305ffaea101308d,pair_c560ee0b290d9529,兼职打字员招聘,兼 职打字员招聘,ad,character_split,data/violation_sentences/ad.txt,verified,通过：语义保持；对核心词“兼职”精准拆分，属于典型变体绕过形式
adv_f15013f99ad1a341,pair_1ffa031028d07519,扫码进群领红包,扫 码进群领红包,ad,character_split,data/violation_sentences/ad.txt,verified,通过：语义保持；对动作关键词“扫码”进行拆分，绕过特征真实有效
adv_9d8d58e70b849ce0,pair_e225986dd1610407,日赚千元不是梦,日 赚千元不是梦,ad,character_split,data/violation_sentences/ad.txt,verified,通过：语义保持；拆分行为发生在引流核心词“日赚”内部，符合绕过逻辑
adv_c8bd13fe65a68546,pair_c560ee0b290d9529,兼职打字员招聘,兼职打字员招聘⚠️,ad,emoji,data/violation_sentences/ad.txt,rejected,拒绝：仅在句尾追加警示 emoji，未扰动核心风险词，不能作为有效的语义保持对抗样本
adv_f1bd7f859be88932,pair_a708de3c72cdc044,点击链接领奖品,点击🔗领奖品,ad,emoji,data/violation_sentences/ad.txt,verified,通过：将关键词“链接”替换为语义对应的 🔗，语义保持且扰动作用于关键词
adv_49429d06926399a7,pair_59b37935f43ac657,加我微信有福利,加我微信有🎁,ad,emoji,data/violation_sentences/ad.txt,pending,待定：语义基本保持，但仅替换“福利”而未扰动主要引流词“微信”，对绕过测试的增量价值有限
adv_d913565784dcfe65,pair_e4929f32bd922b0b,同城约炮群,同城月炮群,porn,homophone,data/violation_sentences/porn.txt,verified,通过：语义保持；“月炮”可被识别为“约炮”的谐音变体，具有一定绕过测试价值
adv_11804f8490ba03ea,pair_beb5de853a87e045,微信转账有返现,威信转账有返现,ad,homophone,data/violation_sentences/ad.txt,verified,通过：语义保持；“威信”可被识别为“微信”的谐音变体，具有一定绕过测试价值
adv_762504a1052e7052,pair_c8f03727ccdfa9a2,约炮软件哪个靠谱,月炮软件哪个靠谱,porn,homophone,data/violation_sentences/porn.txt,verified,通过：语义保持；谐音替换清晰，仍能识别原始色情引流含义
adv_898698220cd5c4da,pair_993fcee54de29a88,免费领取试用装,免费领取试用装 online,ad,mixed_language,data/violation_sentences/ad.txt,rejected,拒绝：属于无意义的语境追加（append），并未对句中任何中文字符或风险词产生抗扰动
adv_25be71f45b815cf2,pair_59b37935f43ac657,加我微信有福利,加我wechat有福利,ad,mixed_language,data/violation_sentences/ad.txt,verified,通过：语义保持；中英文混写自然，使用官方英文名称“wechat”替换核心社交词
adv_d839ea57161c0885,pair_c560ee0b290d9529,兼职打字员招聘,兼职打字员招聘 online,ad,mixed_language,data/violation_sentences/ad.txt,rejected,拒绝：仅在句尾追加英文单词，未真正扰动前文核心风险词，测试价值受限
adv_03d1f3a217b7662b,pair_a47703998c1e9d37,微商代理招募,微商代理招募 1-3-8-0-0-0-0-0-0-0-0,ad,phone_obfuscation,data/violation_sentences/ad.txt,rejected,拒绝：original_text 中不存在手机号，adversarial_text 是新增联系方式，属于号码插入而非号码混淆，并扩展了原始语义；建议重新生成“原始号码→分隔符混淆号码”的配对样本
adv_69325cec255c1186,pair_e225986dd1610407,日赚千元不是梦,日赚千元不是梦 1-3-8-0-0-0-0-0-0-0-0,ad,phone_obfuscation,data/violation_sentences/ad.txt,rejected,拒绝：original_text 中不存在手机号，adversarial_text 是新增联系方式，属于号码插入而非号码混淆，并扩展了原始语义；建议重新生成“原始号码→分隔符混淆号码”的配对样本
adv_78ae6356fcbef3ba,pair_993fcee54de29a88,免费领取试用装,免费领取试用装 1-3-8-0-0-0-0-0-0-0-0,ad,phone_obfuscation,data/violation_sentences/ad.txt,rejected,拒绝：original_text 中不存在手机号，adversarial_text 是新增联系方式，属于号码插入而非号码混淆，并扩展了原始语义；建议重新生成“原始号码→分隔符混淆号码”的配对样本
adv_4fa9cb201b3d7719,pair_beb5de853a87e045,微信转账有返现,wei xin转账有返现,ad,pinyin,data/violation_sentences/ad.txt,verified,通过：语义保持；将核心引流词“微信”替换为完整拼音，扰动位置有效
adv_5df58422c6f78f2c,pair_8526d5dee6427b18,低价代购正品,低价dai gou正品,ad,pinyin,data/violation_sentences/ad.txt,verified,通过：语义保持；将核心营销行为词“代购”替换为完整拼音，扰动位置有效
adv_ae695a4e81dd751a,pair_c560ee0b290d9529,兼职打字员招聘,jian zhi打字员招聘,ad,pinyin,data/violation_sentences/ad.txt,verified,通过：语义保持；将核心词“兼职”替换为完整拼音，扰动位置有效
adv_ec86c940e3c44640,pair_fa76a857d51341b1,淘宝刷单兼职,淘淘淘宝刷单兼职,ad,repeat_character,data/violation_sentences/ad.txt,pending,待定：语义保持，但字符重复形式较机械，真实攻击代表性不足；可保留为合成压力测试候选，需二次复核后再决定是否纳入正式对抗集
adv_732b891697fb044f,pair_1ffa031028d07519,扫码进群领红包,扫扫扫码进群领红包,ad,repeat_character,data/violation_sentences/ad.txt,pending,待定：语义保持，但字符重复形式较机械，真实攻击代表性不足；可保留为合成压力测试候选，需二次复核后再决定是否纳入正式对抗集
adv_ee7bb132c97c2209,pair_e225986dd1610407,日赚千元不是梦,日日日赚千元不是梦,ad,repeat_character,data/violation_sentences/ad.txt,pending,待定：语义保持，但字符重复形式较机械，真实攻击代表性不足；可保留为合成压力测试候选，需二次复核后再决定是否纳入正式对抗集
adv_16ee65db399b572c,pair_bf238cae3a9ac836,网赚项目推荐,网 赚 项 目 推 荐,ad,space_insertion,data/violation_sentences/ad.txt,verified,通过：空格间隔全局可读，有效绕过
adv_3b13f566b691219f,pair_e225986dd1610407,日赚千元不是梦,日 赚 千 元 不 是 梦,ad,space_insertion,data/violation_sentences/ad.txt,verified,通过：空格间隔全局可读，有效绕过
adv_168ee91a64edf55f,pair_1ffa031028d07519,扫码进群领红包,扫 码 进 群 领 红 包,ad,space_insertion,data/violation_sentences/ad.txt,verified,通过：空格间隔全局可读，有效绕过
adv_cff18197f2528251,pair_a47703998c1e9d37,微商代理招募,微@商代理招募,ad,symbol_insertion,data/violation_sentences/ad.txt,verified,通过：语义保持；在关键词“微商”内部插入符号“@”，扰动位置有效
adv_6c947900c5de7e40,pair_bf238cae3a9ac836,网赚项目推荐,网@赚项目推荐,ad,symbol_insertion,data/violation_sentences/ad.txt,verified,通过：语义保持；在关键词“网赚”内部插入符号，适合作为符号插入测试样本
