sample_id,label,text,structure_type,risk_position,sanitize_operation,legal_context,risk_fragment,linkage_reason,linkage_status,notes
siev1_ad1a042776551bd2,ad,加虚构客服号 WX-DEMO-INVALID 领取返现；保修登记仍按订单编号办理。,opening_fragment,opening,remove_private_channel,保修登记仍按订单编号办理。,加虚构客服号 WX-DEMO-INVALID 领取返现,返现私域引流污染保修通知；风险开场由同一业务页面或通知中的广告位、用户输入或错误字段产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_734bf160121eb0e4,ad,【私聊示例账号 AD-DEMO-000 可拿内部价】周末手作市集九点开场，现场可正常购票。,title_pollution,opening,remove_polluted_title,周末手作市集九点开场，现场可正常购票。,【私聊示例账号 AD-DEMO-000 可拿内部价】,私聊内部价标题污染市集通知；风险标题位于同一页面、记录或活动条目的标题区，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_6e7a6c49c1dfda51,ad,展览导览分上午和下午两场，扫码进入私域团购群可享隐藏价，预约仍以官网编号为准。,embedded_clause,middle,remove_private_channel,展览导览分上午和下午两场，预约仍以官网编号为准。,扫码进入私域团购群可享隐藏价,私域团购引流嵌入展览预约信息；风险短句嵌入同一页面的连续业务内容，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_89cf3e029a62cda0,ad,咖啡店今日供应两款无糖饮品，杯套同时宣传私信暗号拿未公开折扣。,same_sentence_embedded,embedded,neutralize_promotion,咖啡店今日供应两款无糖饮品，杯套采用普通新品说明。,私信暗号拿未公开折扣,折扣暗号与饮品杯套宣传自然相关；风险片段嵌入同一业务句内部，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_ea0f1df420a93ac0,ad,活动报名表：主题=城市摄影；地点=文化馆；推广备注=联系虚构代理号 AGENT-INVALID 购买加急名额；费用=公开价。,field_pollution,middle,remove_polluted_field,活动报名表：主题=城市摄影；地点=文化馆；费用=公开价。,推广备注=联系虚构代理号 AGENT-INVALID 购买加急名额；,代理招揽污染活动报名字段；风险字段属于同一表单、页面或记录，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_44d29b73c498557f,ad,软件更新说明：新增离线阅读并修复同步问题。签名：加入示例促销群 GROUP-000 获取付费激活码。,signature_pollution,end,remove_private_channel,软件更新说明：新增离线阅读并修复同步问题。,签名：加入示例促销群 GROUP-000 获取付费激活码。,促销群签名污染软件更新说明；风险内容来自同一发布者、记录参与者的签名或留言区，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_075de32a1009fff2,ad,顾客：周末蛋糕还能预订吗？店员：可以，私聊个人号还能拿隐藏返利，取货时间仍是下午三点。,dialogue,middle,replace_with_official_channel,顾客：周末蛋糕还能预订吗？店员：可以，请通过门店公开渠道预订，取货时间仍是下午三点。,私聊个人号还能拿隐藏返利,隐藏返利与蛋糕预订服务自然相关；风险表达由同一自然对话中的参与者产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_ab456bbde36f0d9b,ad,课程安排｜基础构图｜户外练习｜私下转账到 PAY-INVALID 可提前解锁资料｜结课讲评,list_pollution,embedded,remove_private_channel,课程安排｜基础构图｜户外练习｜结课讲评,私下转账到 PAY-INVALID 可提前解锁资料｜,私下付费渠道污染课程安排列表；风险项混入同一业务列表，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_12d26892ff493707,ad,社区义卖所得将用于公共阅读角，现场也接受正常购买；想拿专享价就进私域群预付。,closing_fragment,end,delete_promotion_clause,社区义卖所得将用于公共阅读角，现场也接受正常购买。,想拿专享价就进私域群预付,私域预付招揽附着于义卖信息；风险尾句延续同一活动或交易主题，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
siev1_c10fb64a3c62b34f,porn,社区演出报名页顶部弹出“成人裸聊体验 PORN-DEMO-INVALID”，节目时间和无障碍入场说明仍在下方。,opening_fragment,opening,remove_solicitation,社区演出报名页的节目时间和无障碍入场说明仍在下方。,顶部弹出“成人裸聊体验 PORN-DEMO-INVALID”，,色情弹窗来自同一演出报名页的广告位污染；风险开场由同一业务页面或通知中的广告位、用户输入或错误字段产生，风险片段与合法主体可在同一真实业务场景中自然共存。,linked,Repair V2.1语义关联专项复核：linked
